primary_name	systematic_id	19°C	36°C	MM	TBZ	MBC	LatA	BFA	cHex	H2O2	HU	EMS	Bleo	SDS	EGTA	KCl	Sorb	Calc
ppk13	SPAC3H1.13	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
ppk14	SPAC4G8.05	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
ppk15	SPAC823.03	-	+	+	-	+	-	-	+	-	-	+	--	--	+	+	+	-
ppk16	SPAC890.03	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+
ppk18	SPAPB18E9.02c	--	+	--	--	+	--	+	+	+	+	+	-	-	+	-	+	-
ppk19	SPBC119.07	--	---	-	---	-	+	+	--	-	+	+	---	+	---	--	+	+
ppk20	SPBC16E9.13	-	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+
ppk21	SPBC1778.10c	+	+	+	-	+	+	-	+	+	+	+	-	+	+	+	+	+
ppk22	SPBC1861.09	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	-	-
ppk23	SPBC18H10.15	--	+	+	-	+	-	+	+	-	-	+	-	-	+	-	-	-
ppk24	SPBC21.07c	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+
ppk25	SPBC32C12.03c	-	+	+	-	-	-	-	+	+	-	-	+	+	+	-	+	+
ppk26	SPBC336.14c	+	-	--	--	-	+	+	+	+	+	-	+	-	-	+	-	+
ppk27	SPBC337.04	---	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+
ppk28	SPBC36B7.09	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+
ppk29	SPBC557.04	-	+	+	-	+	+	+	+	+	+	+	+	-	+	+	-	-
ppk30	SPBC6B1.02	-	+	ND	-	-	-	+	+	-	+	+	-	-	-	+	-	+
ppk31	SPBC725.06c	+	+	+	-	-	+	+	+	+	+	--	+	+	-	+	+	+
ppk32	SPBP23A10.10	-	+	+	--	-	+	+	+	+	+	-	+	-	+	-	-	+
ppk33	SPCC162.10	+	+	-	-	-	-	+	-	+	-	-	+	+	+	+	+	-
ppk34	SPCC1919.01	-	+	-	-	+	+	-	+	+	+	+	--	-	+	+	+	-
ppk35	SPCC417.06c	+	+	+	+	+	-	+	+	+	+	-	+	+	+	+	+	+
ppk36	SPCC63.08c	+	+	+	-	+	-	+	+	+	-	-	+	+	+	+	+	-
ppk38	SPCP1E11.02	+	-	+	-	+	+	-	+	+	+	-	-	-	-	+	+	+
psk1	SPCC4G3.08	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+
sck1	SPAC1B9.02c	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
shk2	SPAC1F5.09c	+	+	--	-	+	-	+	+	+	-	+	-	+	+	+	+	-
spk1	SPAC31G5.09c	-	+	-	-	-	+	+	-	+	-	-	-	+	+	-	+	+
spo4	SPBC21C3.18	+	+	-	-	-	--	-	+	+	-	+	-	-	+	-	-	--
srb10	SPAC23H4.17c	+	+	+	-	+	+	+	+	+	+	+	+	-	-	+	+	+
srk1	SPCC1322.08	+	+	-	-	-	-	-	+	+	-	+	-	+	-	-	+	-
ssp1	SPCC297.03	+	-	-	-	-	+	+	+	+	+	-	+	+	+	-	-	+
ssp2	SPCC74.03c	-	-	+	-	+	-	+	+	+	+	+	+	+	+	+	+	+
sty1	SPAC24B11.06c	+	---	--	--	-	+	-	-	---	-	-	--	-	-	---	--	+
wee1	SPCC18B5.03	---	--	-	---	--	--	-	--	-	--	+	---	--	+	-	-	-
win1	SPAC1006.09	+	---	+	--	-	+	+	+	-	+	-	+	-	+	--	-	-
wis1	SPBC409.07c	---	---	-	-	-	--	-	-	---	+	+	--	---	+	---	--	-
wis4	SPAC9G1.02	+	−−	+	-	+	-	-	-	--	-	-	-	-	-	--	+	-
